year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,12,6,1710,1710,0,2324,2047,NA,B6,415,N708JB,JFK,SFO,NA,2586,17,10,2013-12-06T22:00:00Z
2013,11,26,2025,2000,25,2148,2115,33,US,2162,N957UW,LGA,BOS,42,184,20,0,2013-11-27T01:00:00Z
2013,10,27,555,600,-5,837,846,-9,B6,583,N529JB,JFK,MCO,138,944,6,0,2013-10-27T10:00:00Z
2013,8,20,946,954,-8,1046,1119,-33,UA,395,N573UA,EWR,ORD,106,719,9,54,2013-08-20T13:00:00Z
2013,7,3,1224,1155,29,1354,1310,44,MQ,3386,N830MQ,JFK,DCA,62,213,11,55,2013-07-03T15:00:00Z
2013,6,8,1700,1700,0,2053,2054,-1,DL,329,N386DA,JFK,SJU,199,1598,17,0,2013-06-08T21:00:00Z
2013,4,14,836,837,-1,1220,1211,9,UA,398,N559UA,EWR,SFO,366,2565,8,37,2013-04-14T12:00:00Z
2013,12,12,2018,2000,18,2315,2325,-10,VX,415,N839VA,JFK,LAX,338,2475,20,0,2013-12-13T01:00:00Z
2013,7,22,2347,1901,286,259,2213,286,B6,201,N323JB,JFK,FLL,141,1069,19,1,2013-07-22T23:00:00Z
2013,5,29,2020,1929,51,2247,2155,52,EV,5181,N719EV,EWR,ATL,112,746,19,29,2013-05-29T23:00:00Z
2013,4,7,745,745,0,1048,1100,-12,DL,183,N723TW,JFK,SEA,328,2422,7,45,2013-04-07T11:00:00Z
2013,1,29,942,945,-3,1056,1135,-39,WN,469,N242WN,LGA,BNA,116,764,9,45,2013-01-29T14:00:00Z
2013,9,9,902,854,8,1143,1213,-30,B6,15,N651JB,JFK,SFO,320,2586,8,54,2013-09-09T12:00:00Z
2013,4,30,1406,1412,-6,1617,1635,-18,FL,366,N951AT,LGA,ATL,107,762,14,12,2013-04-30T18:00:00Z
2013,2,3,1550,1555,-5,1845,1907,-22,DL,1695,N377NW,LGA,TPA,142,1010,15,55,2013-02-03T20:00:00Z
2013,2,7,1514,1520,-6,1842,1842,0,DL,2115,N345NW,LGA,MIA,160,1096,15,20,2013-02-07T20:00:00Z
2013,10,28,1254,1300,-6,1458,1526,-28,DL,1798,N326NB,EWR,ATL,103,746,13,0,2013-10-28T17:00:00Z
2013,8,19,1454,1455,-1,2021,1800,NA,AA,1751,N3JVAA,JFK,TPA,NA,1005,14,55,2013-08-19T18:00:00Z
2013,5,27,1553,1600,-7,1730,1721,9,US,2181,N768US,LGA,DCA,45,214,16,0,2013-05-27T20:00:00Z
2013,10,24,1255,1259,-4,1456,1512,-16,EV,5207,N741EV,LGA,CLT,90,544,12,59,2013-10-24T16:00:00Z
2013,5,18,1826,1830,-4,2122,2200,-38,AA,119,N3JRAA,EWR,LAX,326,2454,18,30,2013-05-18T22:00:00Z
2013,3,25,1707,1630,37,1854,1833,21,B6,1085,N351JB,JFK,CLT,87,541,16,30,2013-03-25T20:00:00Z
2013,7,15,47,2359,48,420,344,36,B6,1503,N645JB,JFK,SJU,197,1598,23,59,2013-07-16T03:00:00Z
2013,4,21,1228,1235,-7,1511,1520,-9,AA,1033,N473AA,EWR,DFW,199,1372,12,35,2013-04-21T16:00:00Z
2013,10,11,2036,2009,27,2133,2129,4,UA,1049,N87527,EWR,BOS,36,200,20,9,2013-10-12T00:00:00Z
2013,1,11,646,645,1,749,757,-8,EV,4241,N12922,EWR,DCA,42,199,6,45,2013-01-11T11:00:00Z
2013,8,19,2201,2145,16,17,18,-1,B6,611,N784JB,JFK,LAS,287,2248,21,45,2013-08-20T01:00:00Z
2013,1,18,1541,1545,-4,1856,1850,6,DL,2377,N325US,LGA,MCO,143,950,15,45,2013-01-18T20:00:00Z
2013,12,29,816,809,7,956,1004,-8,9E,2932,N297PQ,JFK,RDU,82,427,8,9,2013-12-29T13:00:00Z
2013,11,2,733,735,-2,854,900,-6,WN,1600,N770SA,LGA,BNA,123,764,7,35,2013-11-02T11:00:00Z
2013,10,9,702,710,-8,1010,1025,-15,AA,1345,N338AA,JFK,MIA,157,1089,7,10,2013-10-09T11:00:00Z
2013,8,28,1658,1700,-2,2001,2018,-17,DL,1163,N717TW,JFK,LAX,317,2475,17,0,2013-08-28T21:00:00Z
2013,5,29,1656,1700,-4,1817,1823,-6,US,2183,N768US,LGA,DCA,54,214,17,0,2013-05-29T21:00:00Z
2013,1,12,1155,1200,-5,1344,1400,-16,US,1443,N714US,JFK,CLT,81,541,12,0,2013-01-12T17:00:00Z
2013,3,2,1608,1603,5,1709,1716,-7,EV,4398,N13969,EWR,ORF,46,284,16,3,2013-03-02T21:00:00Z
2013,12,13,555,605,-10,713,724,-11,EV,5747,N820AS,LGA,IAD,47,229,6,5,2013-12-13T11:00:00Z
2013,2,27,1048,1030,18,1330,1254,36,DL,2343,N307DQ,EWR,ATL,114,746,10,30,2013-02-27T15:00:00Z
2013,8,3,2031,1932,59,2300,2228,32,B6,225,N630JB,JFK,TPA,130,1005,19,32,2013-08-03T23:00:00Z
2013,9,27,909,915,-6,1158,1215,-17,VX,161,N854VA,EWR,LAX,319,2454,9,15,2013-09-27T13:00:00Z
2013,12,1,1927,1932,-5,2306,2305,1,B6,161,N558JB,JFK,SMF,360,2521,19,32,2013-12-02T00:00:00Z
2013,5,5,734,740,-6,959,1040,-41,AA,715,N587AA,LGA,DFW,184,1389,7,40,2013-05-05T11:00:00Z
2013,11,2,1454,1459,-5,1718,1736,-18,DL,2347,N944DL,LGA,ATL,117,762,14,59,2013-11-02T18:00:00Z
2013,2,28,1558,1600,-2,1720,1739,-19,UA,687,N438UA,LGA,ORD,116,733,16,0,2013-02-28T21:00:00Z
2013,11,10,946,945,1,1130,1203,-33,EV,5443,N755EV,LGA,CLT,86,544,9,45,2013-11-10T14:00:00Z
2013,8,24,1026,1030,-4,1329,1335,-6,AA,601,N336AA,JFK,MIA,151,1089,10,30,2013-08-24T14:00:00Z
2013,7,26,1524,1530,-6,1837,1840,-3,DL,1935,N362NW,LGA,TPA,135,1010,15,30,2013-07-26T19:00:00Z
2013,12,27,1542,1544,-2,1803,1822,-19,DL,1705,N332NB,LGA,MSY,178,1183,15,44,2013-12-27T20:00:00Z
2013,11,13,2104,2110,-6,2246,2255,-9,MQ,3603,N544MQ,LGA,DTW,79,502,21,10,2013-11-14T02:00:00Z
2013,4,10,2342,2220,82,331,209,82,B6,713,N536JB,JFK,SJU,192,1598,22,20,2013-04-11T02:00:00Z
2013,7,29,1542,1430,72,1715,1610,65,EV,4596,N14542,EWR,STL,132,872,14,30,2013-07-29T18:00:00Z
2013,4,14,2257,1855,242,223,2240,223,VX,29,N638VA,JFK,SFO,365,2586,18,55,2013-04-14T22:00:00Z
2013,8,28,1108,1115,-7,1317,1254,23,EV,5273,N724EV,LGA,PIT,58,335,11,15,2013-08-28T15:00:00Z
2013,5,24,1906,1700,126,2018,1823,115,US,2183,N754UW,LGA,DCA,46,214,17,0,2013-05-24T21:00:00Z
2013,10,20,1354,1355,-1,1547,1550,-3,MQ,3567,N527MQ,LGA,CLT,93,544,13,55,2013-10-20T17:00:00Z
2013,6,28,750,740,10,1115,1055,20,VX,11,N627VA,JFK,SFO,365,2586,7,40,2013-06-28T11:00:00Z
2013,4,16,1300,1305,-5,1511,1528,-17,EV,4141,N14125,EWR,ATL,107,746,13,5,2013-04-16T17:00:00Z
2013,8,14,1220,1209,11,1319,1316,3,B6,1191,N306JB,JFK,ACK,43,199,12,9,2013-08-14T16:00:00Z
2013,7,22,1056,1100,-4,1203,1211,-8,US,2124,N959UW,LGA,BOS,35,184,11,0,2013-07-22T15:00:00Z
2013,7,11,1709,1559,70,1814,1732,42,UA,1285,N14231,EWR,ORD,103,719,15,59,2013-07-11T19:00:00Z
2013,8,22,1817,1815,2,2054,2140,-46,DL,17,N196DN,JFK,LAX,308,2475,18,15,2013-08-22T22:00:00Z
2013,8,9,1020,915,65,1402,1307,55,UA,1216,N75435,EWR,SJU,193,1608,9,15,2013-08-09T13:00:00Z
2013,1,15,1450,1450,0,1635,1640,-5,MQ,4403,N836MQ,JFK,RDU,80,427,14,50,2013-01-15T19:00:00Z
2013,3,7,2009,2015,-6,2244,2320,-36,UA,299,N832UA,EWR,DFW,196,1372,20,15,2013-03-08T01:00:00Z
2013,4,20,1641,1625,16,2027,1933,54,UA,242,N453UA,EWR,FLL,194,1065,16,25,2013-04-20T20:00:00Z
2013,4,29,1010,1005,5,1203,1221,-18,DL,2319,N309US,LGA,MSP,142,1020,10,5,2013-04-29T14:00:00Z
2013,12,23,1717,1700,17,1928,1840,48,WN,2960,N248WN,LGA,BNA,141,764,17,0,2013-12-23T22:00:00Z
2013,8,7,2125,2105,20,2304,2230,34,MQ,3604,N503MQ,EWR,ORD,120,719,21,5,2013-08-08T01:00:00Z
2013,12,9,1513,1450,23,1832,1755,37,AA,320,N558AA,EWR,DFW,233,1372,14,50,2013-12-09T19:00:00Z
2013,1,7,1429,1429,0,1733,1754,-21,UA,257,N517UA,JFK,SFO,337,2586,14,29,2013-01-07T19:00:00Z
2013,7,24,1659,1545,74,2053,2005,48,DL,4,N3753,JFK,SJU,193,1598,15,45,2013-07-24T19:00:00Z
2013,9,5,553,603,-10,732,723,9,EV,4252,N16541,EWR,MKE,118,725,6,3,2013-09-05T10:00:00Z
2013,10,31,1452,1455,-3,1643,1645,-2,MQ,2815,N621MQ,JFK,CLE,78,425,14,55,2013-10-31T18:00:00Z
2013,5,24,815,820,-5,932,940,-8,MQ,4655,N534MQ,LGA,BNA,106,764,8,20,2013-05-24T12:00:00Z
2013,6,24,2115,1915,120,40,2230,130,AA,21,N320AA,JFK,LAX,333,2475,19,15,2013-06-24T23:00:00Z
2013,7,14,1437,1440,-3,1549,1605,-16,EV,5713,N833AS,LGA,IAD,44,229,14,40,2013-07-14T18:00:00Z
2013,4,15,827,835,-8,1008,1020,-12,MQ,4558,N713MQ,LGA,CLE,67,419,8,35,2013-04-15T12:00:00Z
2013,12,3,954,959,-5,1136,1124,12,EV,4510,N16918,EWR,MKE,131,725,9,59,2013-12-03T14:00:00Z
2013,8,23,1011,1019,-8,1145,1207,-22,US,855,N562UW,EWR,CLT,80,529,10,19,2013-08-23T14:00:00Z
2013,9,18,1108,1015,53,1206,1139,27,EV,4198,N11155,EWR,BNA,101,748,10,15,2013-09-18T14:00:00Z
2013,7,19,1756,1726,30,1958,1931,27,EV,5812,N14568,EWR,CHS,88,628,17,26,2013-07-19T21:00:00Z
2013,5,5,1826,1830,-4,2151,2200,-9,AA,119,N3CUAA,EWR,LAX,322,2454,18,30,2013-05-05T22:00:00Z
2013,3,20,1410,1400,10,1506,1508,-2,EV,4434,N14972,EWR,MHT,38,209,14,0,2013-03-20T18:00:00Z
2013,7,16,1656,1559,57,2022,1922,60,DL,1373,N353NW,JFK,MIA,146,1089,15,59,2013-07-16T19:00:00Z
2013,2,26,1535,1540,-5,1911,1909,2,DL,1411,N318US,JFK,FLL,175,1069,15,40,2013-02-26T20:00:00Z
2013,9,5,1258,1300,-2,1528,1554,-26,UA,1592,N18112,EWR,MCO,125,937,13,0,2013-09-05T17:00:00Z
2013,8,24,557,600,-3,833,834,-1,B6,27,N534JB,EWR,MCO,127,937,6,0,2013-08-24T10:00:00Z
2013,8,27,1936,1935,1,2156,2223,-27,9E,3350,N936XJ,JFK,JAX,103,828,19,35,2013-08-27T23:00:00Z
2013,7,3,1506,1505,1,1852,1835,17,AA,1769,N375AA,JFK,MIA,167,1089,15,5,2013-07-03T19:00:00Z
2013,8,3,2024,2029,-5,2301,2317,-16,UA,423,N410UA,EWR,MCO,124,937,20,29,2013-08-04T00:00:00Z
2013,7,19,1126,1125,1,1422,1440,-18,AA,2099,N3BNAA,LGA,MIA,145,1096,11,25,2013-07-19T15:00:00Z
2013,10,26,821,750,31,1113,1040,33,MQ,3052,N527MQ,JFK,TPA,143,1005,7,50,2013-10-26T11:00:00Z
2013,5,7,1123,1015,68,1303,1212,51,US,1427,N737US,JFK,CLT,79,541,10,15,2013-05-07T14:00:00Z
2013,7,12,557,600,-3,654,655,-1,US,1629,N950UW,LGA,PHL,38,96,6,0,2013-07-12T10:00:00Z
2013,9,25,1756,1754,2,1944,1955,-11,DL,1321,N368NW,EWR,MSP,136,1008,17,54,2013-09-25T21:00:00Z
2013,3,8,NA,1630,NA,NA,1737,NA,EV,4299,N14204,EWR,DCA,NA,199,16,30,2013-03-08T21:00:00Z
2013,2,23,1148,1200,-12,1300,1305,-5,US,2126,N958UW,LGA,BOS,39,184,12,0,2013-02-23T17:00:00Z
2013,1,6,1858,1851,7,2154,2157,-3,UA,1675,N14250,LGA,IAH,218,1416,18,51,2013-01-06T23:00:00Z
2013,9,18,825,830,-5,934,1005,-31,9E,3579,N819AY,LGA,IAD,39,229,8,30,2013-09-18T12:00:00Z
2013,10,21,1713,1715,-2,1922,1937,-15,UA,509,N575UA,LGA,DEN,223,1620,17,15,2013-10-21T21:00:00Z
2013,12,4,1534,1545,-11,1659,1721,-22,UA,1638,N77520,EWR,CLE,62,404,15,45,2013-12-04T20:00:00Z
2013,2,10,1050,1050,0,1331,1404,-33,B6,373,N597JB,LGA,FLL,148,1076,10,50,2013-02-10T15:00:00Z
2013,4,18,2146,1945,121,17,2300,77,AA,1709,N3GAAA,LGA,MIA,137,1096,19,45,2013-04-18T23:00:00Z
2013,1,30,NA,1221,NA,NA,1418,NA,EV,4640,N13969,EWR,DAY,NA,533,12,21,2013-01-30T17:00:00Z
2013,5,3,1629,1635,-6,1802,1814,-12,EV,4645,N14920,EWR,GSO,67,445,16,35,2013-05-03T20:00:00Z
2013,11,14,1822,1825,-3,2034,2103,-29,DL,87,N395DN,JFK,ATL,108,760,18,25,2013-11-14T23:00:00Z
2013,4,1,1625,1635,-10,1914,1856,18,US,656,N640AW,EWR,PHX,315,2133,16,35,2013-04-01T20:00:00Z
2013,4,15,2243,2245,-2,7,1,6,B6,608,N258JB,JFK,PWM,43,273,22,45,2013-04-16T02:00:00Z
2013,4,12,1522,1519,3,1806,1820,-14,UA,1600,N67134,EWR,LAX,318,2454,15,19,2013-04-12T19:00:00Z
2013,11,9,1247,1215,32,1530,1510,20,AA,1143,N3JNAA,LGA,DFW,201,1389,12,15,2013-11-09T17:00:00Z
2013,5,2,641,645,-4,917,953,-36,UA,685,N463UA,EWR,SEA,316,2402,6,45,2013-05-02T10:00:00Z
2013,8,30,1524,1530,-6,1655,1715,-20,WN,1013,N927WN,LGA,STL,119,888,15,30,2013-08-30T19:00:00Z
2013,11,24,1310,1310,0,1635,1607,28,B6,553,N296JB,JFK,PBI,160,1028,13,10,2013-11-24T18:00:00Z
2013,6,3,NA,1329,NA,NA,1434,NA,B6,1338,N198JB,JFK,MVY,NA,173,13,29,2013-06-03T17:00:00Z
2013,3,7,1423,1426,-3,1621,1653,-32,DL,1705,N327NW,LGA,MSY,164,1183,14,26,2013-03-07T19:00:00Z
2013,11,23,1559,1600,-1,1720,1733,-13,UA,1554,N36280,EWR,ORD,125,719,16,0,2013-11-23T21:00:00Z
2013,5,11,1436,1445,-9,1641,1647,-6,DL,1231,N335NB,LGA,DTW,86,502,14,45,2013-05-11T18:00:00Z
2013,8,29,1433,1433,0,1618,1607,11,UA,274,N816UA,EWR,CLE,66,404,14,33,2013-08-29T18:00:00Z
2013,12,24,1835,1813,22,2204,2200,4,UA,1481,N77530,EWR,PHX,307,2133,18,13,2013-12-24T23:00:00Z
2013,8,12,1659,1624,35,1825,1816,9,EV,4212,N11539,EWR,RDU,64,416,16,24,2013-08-12T20:00:00Z
2013,2,25,1856,1900,-4,2154,2238,-44,DL,87,N702TW,JFK,LAX,333,2475,19,0,2013-02-26T00:00:00Z
2013,2,26,1743,1745,-2,2029,2120,-51,AA,177,N327AA,JFK,SFO,325,2586,17,45,2013-02-26T22:00:00Z
2013,9,22,1149,1120,29,1256,1235,21,MQ,3704,N516MQ,EWR,ORD,106,719,11,20,2013-09-22T15:00:00Z
2013,4,25,1922,1930,-8,2147,2133,14,9E,3899,N825AY,JFK,CLE,74,425,19,30,2013-04-25T23:00:00Z
2013,1,10,2052,2055,-3,2316,2250,26,MQ,4573,N725MQ,LGA,DTW,94,502,20,55,2013-01-11T01:00:00Z
2013,5,31,1618,1550,28,1926,1907,19,DL,1982,N972DL,LGA,MIA,146,1096,15,50,2013-05-31T19:00:00Z
2013,5,3,2052,2100,-8,2156,2210,-14,US,2144,N953UW,LGA,BOS,39,184,21,0,2013-05-04T01:00:00Z
2013,4,9,1814,1755,19,2046,2050,-4,DL,1585,N3737C,LGA,MCO,124,950,17,55,2013-04-09T21:00:00Z
2013,3,12,1001,1001,0,1121,1129,-8,EV,4143,N16559,EWR,BNA,121,748,10,1,2013-03-12T14:00:00Z
2013,6,3,810,800,10,1125,1127,-2,UA,397,N560UA,JFK,SFO,346,2586,8,0,2013-06-03T12:00:00Z
2013,7,15,1455,1500,-5,1649,1652,-3,US,802,N554UW,EWR,CLT,82,529,15,0,2013-07-15T19:00:00Z
2013,7,28,946,955,-9,1102,1115,-13,MQ,3670,N537MQ,LGA,BNA,111,764,9,55,2013-07-28T13:00:00Z
2013,12,23,1852,1747,65,2100,1952,68,EV,4411,N13958,EWR,MEM,174,946,17,47,2013-12-23T22:00:00Z
2013,10,30,813,815,-2,935,947,-12,9E,3317,N901XJ,JFK,BUF,58,301,8,15,2013-10-30T12:00:00Z
2013,8,4,2001,1930,31,2301,2248,13,B6,71,N629JB,JFK,SLC,276,1990,19,30,2013-08-04T23:00:00Z
2013,6,24,653,700,-7,800,833,-33,UA,331,N425UA,LGA,ORD,100,733,7,0,2013-06-24T11:00:00Z
2013,11,1,1025,1030,-5,1518,1325,NA,AA,19,N335AA,JFK,LAX,NA,2475,10,30,2013-11-01T14:00:00Z
2013,12,2,1055,1100,-5,1155,1210,-15,MQ,3230,N530MQ,JFK,DCA,41,213,11,0,2013-12-02T16:00:00Z
2013,12,5,1200,1200,0,1344,1400,-16,US,2069,N127UW,JFK,CLT,85,541,12,0,2013-12-05T17:00:00Z
2013,10,10,853,855,-2,1029,1033,-4,EV,5220,N744EV,LGA,ROC,40,254,8,55,2013-10-10T12:00:00Z
2013,11,13,1458,1456,2,1734,1749,-15,UA,1270,N24702,EWR,MCO,129,937,14,56,2013-11-13T19:00:00Z
2013,6,25,1537,1500,37,1830,1758,32,B6,83,N509JB,JFK,MCO,127,944,15,0,2013-06-25T19:00:00Z
2013,2,11,1447,1250,117,1556,1354,122,B6,1006,N179JB,JFK,BOS,45,187,12,50,2013-02-11T17:00:00Z
2013,1,20,745,749,-4,901,926,-25,UA,468,N460UA,EWR,ORD,122,719,7,49,2013-01-20T12:00:00Z
2013,3,21,1636,1615,21,1833,1832,1,DL,1619,N369NW,LGA,MSP,135,1020,16,15,2013-03-21T20:00:00Z
2013,11,29,1725,1730,-5,1955,2050,-55,AA,1185,N3JNAA,LGA,DFW,196,1389,17,30,2013-11-29T22:00:00Z
2013,12,16,1312,1315,-3,1505,1506,-1,US,802,N543UW,EWR,CLT,86,529,13,15,2013-12-16T18:00:00Z
2013,11,30,1504,1500,4,1624,1640,-16,UA,685,N847UA,LGA,ORD,118,733,15,0,2013-11-30T20:00:00Z
2013,5,24,1726,1727,-1,1833,1844,-11,UA,1703,N37274,EWR,BOS,38,200,17,27,2013-05-24T21:00:00Z
2013,10,2,750,759,-9,914,937,-23,B6,885,N368JB,JFK,RDU,64,427,7,59,2013-10-02T11:00:00Z
2013,8,3,1936,1930,6,2314,2257,17,UA,551,N825UA,EWR,SFO,362,2565,19,30,2013-08-03T23:00:00Z
2013,12,28,907,910,-3,1016,1025,-9,B6,1634,N249JB,JFK,BTV,46,266,9,10,2013-12-28T14:00:00Z
2013,11,17,1808,1745,23,2204,1920,NA,EV,4191,N12540,EWR,BNA,NA,748,17,45,2013-11-17T22:00:00Z
2013,7,17,640,646,-6,825,908,-43,UA,492,N553UA,EWR,LAS,264,2227,6,46,2013-07-17T10:00:00Z
2013,3,3,1539,1543,-4,1700,1710,-10,9E,4135,N8942A,JFK,BWI,36,184,15,43,2013-03-03T20:00:00Z
2013,9,12,620,620,0,759,810,-11,MQ,3351,N532MQ,LGA,DTW,80,502,6,20,2013-09-12T10:00:00Z
2013,5,24,1823,1830,-7,1949,1955,-6,MQ,4484,N720MQ,LGA,BNA,108,764,18,30,2013-05-24T22:00:00Z
2013,11,18,1424,1425,-1,1646,1650,-4,MQ,3669,N537MQ,LGA,ATL,118,762,14,25,2013-11-18T19:00:00Z
2013,9,23,1102,1100,2,1234,1235,-1,WN,51,N780SW,LGA,MDW,109,725,11,0,2013-09-23T15:00:00Z
