carrier,flight,month_name,time_hour,dep_delay,arr_delay,dep_delay_cat,arr_delay_cat
UA,1225,November,2013-11-07T00:00:00Z,7,-3,Kind of on time,Kind of on time
B6,305,August,2013-08-02T22:00:00Z,45,27,Late,Kind of on time
B6,543,October,2013-10-25T20:00:00Z,1,4,Kind of on time,Kind of on time
9E,3798,May,2013-05-01T23:00:00Z,-5,-18,Kind of on time,Kind of on time
B6,415,December,2013-12-06T22:00:00Z,0,NA,Kind of on time,NA
US,2162,November,2013-11-27T01:00:00Z,25,33,Kind of on time,Late
B6,583,October,2013-10-27T10:00:00Z,-5,-9,Kind of on time,Kind of on time
UA,395,August,2013-08-20T13:00:00Z,-8,-33,Kind of on time,Early
MQ,3386,July,2013-07-03T15:00:00Z,29,44,Kind of on time,Late
DL,329,June,2013-06-08T21:00:00Z,0,-1,Kind of on time,Kind of on time
UA,398,April,2013-04-14T12:00:00Z,-1,9,Kind of on time,Kind of on time
VX,415,December,2013-12-13T01:00:00Z,18,-10,Kind of on time,Kind of on time
B6,201,July,2013-07-22T23:00:00Z,286,286,Late,Late
EV,5181,May,2013-05-29T23:00:00Z,51,52,Late,Late
DL,183,April,2013-04-07T11:00:00Z,0,-12,Kind of on time,Kind of on time
WN,469,January,2013-01-29T14:00:00Z,-3,-39,Kind of on time,Early
B6,15,September,2013-09-09T12:00:00Z,8,-30,Kind of on time,Kind of on time
FL,366,April,2013-04-30T18:00:00Z,-6,-18,Kind of on time,Kind of on time
DL,1695,February,2013-02-03T20:00:00Z,-5,-22,Kind of on time,Kind of on time
DL,2115,February,2013-02-07T20:00:00Z,-6,0,Kind of on time,Kind of on time
DL,1798,October,2013-10-28T17:00:00Z,-6,-28,Kind of on time,Kind of on time
AA,1751,August,2013-08-19T18:00:00Z,-1,NA,Kind of on time,NA
US,2181,May,2013-05-27T20:00:00Z,-7,9,Kind of on time,Kind of on time
EV,5207,October,2013-10-24T16:00:00Z,-4,-16,Kind of on time,Kind of on time
AA,119,May,2013-05-18T22:00:00Z,-4,-38,Kind of on time,Early
B6,1085,March,2013-03-25T20:00:00Z,37,21,Late,Kind of on time
B6,1503,July,2013-07-16T03:00:00Z,48,36,Late,Late
AA,1033,April,2013-04-21T16:00:00Z,-7,-9,Kind of on time,Kind of on time
UA,1049,October,2013-10-12T00:00:00Z,27,4,Kind of on time,Kind of on time
EV,4241,January,2013-01-11T11:00:00Z,1,-8,Kind of on time,Kind of on time
B6,611,August,2013-08-20T01:00:00Z,16,-1,Kind of on time,Kind of on time
DL,2377,January,2013-01-18T20:00:00Z,-4,6,Kind of on time,Kind of on time
9E,2932,December,2013-12-29T13:00:00Z,7,-8,Kind of on time,Kind of on time
WN,1600,November,2013-11-02T11:00:00Z,-2,-6,Kind of on time,Kind of on time
AA,1345,October,2013-10-09T11:00:00Z,-8,-15,Kind of on time,Kind of on time
DL,1163,August,2013-08-28T21:00:00Z,-2,-17,Kind of on time,Kind of on time
US,2183,May,2013-05-29T21:00:00Z,-4,-6,Kind of on time,Kind of on time
US,1443,January,2013-01-12T17:00:00Z,-5,-16,Kind of on time,Kind of on time
EV,4398,March,2013-03-02T21:00:00Z,5,-7,Kind of on time,Kind of on time
EV,5747,December,2013-12-13T11:00:00Z,-10,-11,Kind of on time,Kind of on time
DL,2343,February,2013-02-27T15:00:00Z,18,36,Kind of on time,Late
B6,225,August,2013-08-03T23:00:00Z,59,32,Late,Late
VX,161,September,2013-09-27T13:00:00Z,-6,-17,Kind of on time,Kind of on time
B6,161,December,2013-12-02T00:00:00Z,-5,1,Kind of on time,Kind of on time
AA,715,May,2013-05-05T11:00:00Z,-6,-41,Kind of on time,Early
DL,2347,November,2013-11-02T18:00:00Z,-5,-18,Kind of on time,Kind of on time
UA,687,February,2013-02-28T21:00:00Z,-2,-19,Kind of on time,Kind of on time
EV,5443,November,2013-11-10T14:00:00Z,1,-33,Kind of on time,Early
AA,601,August,2013-08-24T14:00:00Z,-4,-6,Kind of on time,Kind of on time
DL,1935,July,2013-07-26T19:00:00Z,-6,-3,Kind of on time,Kind of on time
DL,1705,December,2013-12-27T20:00:00Z,-2,-19,Kind of on time,Kind of on time
MQ,3603,November,2013-11-14T02:00:00Z,-6,-9,Kind of on time,Kind of on time
B6,713,April,2013-04-11T02:00:00Z,82,82,Late,Late
EV,4596,July,2013-07-29T18:00:00Z,72,65,Late,Late
VX,29,April,2013-04-14T22:00:00Z,242,223,Late,Late
EV,5273,August,2013-08-28T15:00:00Z,-7,23,Kind of on time,Kind of on time
US,2183,May,2013-05-24T21:00:00Z,126,115,Late,Late
MQ,3567,October,2013-10-20T17:00:00Z,-1,-3,Kind of on time,Kind of on time
VX,11,June,2013-06-28T11:00:00Z,10,20,Kind of on time,Kind of on time
EV,4141,April,2013-04-16T17:00:00Z,-5,-17,Kind of on time,Kind of on time
B6,1191,August,2013-08-14T16:00:00Z,11,3,Kind of on time,Kind of on time
US,2124,July,2013-07-22T15:00:00Z,-4,-8,Kind of on time,Kind of on time
UA,1285,July,2013-07-11T19:00:00Z,70,42,Late,Late
DL,17,August,2013-08-22T22:00:00Z,2,-46,Kind of on time,Early
UA,1216,August,2013-08-09T13:00:00Z,65,55,Late,Late
MQ,4403,January,2013-01-15T19:00:00Z,0,-5,Kind of on time,Kind of on time
UA,299,March,2013-03-08T01:00:00Z,-6,-36,Kind of on time,Early
UA,242,April,2013-04-20T20:00:00Z,16,54,Kind of on time,Late
DL,2319,April,2013-04-29T14:00:00Z,5,-18,Kind of on time,Kind of on time
WN,2960,December,2013-12-23T22:00:00Z,17,48,Kind of on time,Late
MQ,3604,August,2013-08-08T01:00:00Z,20,34,Kind of on time,Late
AA,320,December,2013-12-09T19:00:00Z,23,37,Kind of on time,Late
UA,257,January,2013-01-07T19:00:00Z,0,-21,Kind of on time,Kind of on time
DL,4,July,2013-07-24T19:00:00Z,74,48,Late,Late
EV,4252,September,2013-09-05T10:00:00Z,-10,9,Kind of on time,Kind of on time
MQ,2815,October,2013-10-31T18:00:00Z,-3,-2,Kind of on time,Kind of on time
MQ,4655,May,2013-05-24T12:00:00Z,-5,-8,Kind of on time,Kind of on time
AA,21,June,2013-06-24T23:00:00Z,120,130,Late,Late
EV,5713,July,2013-07-14T18:00:00Z,-3,-16,Kind of on time,Kind of on time
MQ,4558,April,2013-04-15T12:00:00Z,-8,-12,Kind of on time,Kind of on time
EV,4510,December,2013-12-03T14:00:00Z,-5,12,Kind of on time,Kind of on time
US,855,August,2013-08-23T14:00:00Z,-8,-22,Kind of on time,Kind of on time
EV,4198,September,2013-09-18T14:00:00Z,53,27,Late,Kind of on time
EV,5812,July,2013-07-19T21:00:00Z,30,27,Late,Kind of on time
AA,119,May,2013-05-05T22:00:00Z,-4,-9,Kind of on time,Kind of on time
EV,4434,March,2013-03-20T18:00:00Z,10,-2,Kind of on time,Kind of on time
DL,1373,July,2013-07-16T19:00:00Z,57,60,Late,Late
DL,1411,February,2013-02-26T20:00:00Z,-5,2,Kind of on time,Kind of on time
UA,1592,September,2013-09-05T17:00:00Z,-2,-26,Kind of on time,Kind of on time
B6,27,August,2013-08-24T10:00:00Z,-3,-1,Kind of on time,Kind of on time
9E,3350,August,2013-08-27T23:00:00Z,1,-27,Kind of on time,Kind of on time
AA,1769,July,2013-07-03T19:00:00Z,1,17,Kind of on time,Kind of on time
UA,423,August,2013-08-04T00:00:00Z,-5,-16,Kind of on time,Kind of on time
AA,2099,July,2013-07-19T15:00:00Z,1,-18,Kind of on time,Kind of on time
MQ,3052,October,2013-10-26T11:00:00Z,31,33,Late,Late
US,1427,May,2013-05-07T14:00:00Z,68,51,Late,Late
US,1629,July,2013-07-12T10:00:00Z,-3,-1,Kind of on time,Kind of on time
DL,1321,September,2013-09-25T21:00:00Z,2,-11,Kind of on time,Kind of on time
EV,4299,March,2013-03-08T21:00:00Z,NA,NA,NA,NA
US,2126,February,2013-02-23T17:00:00Z,-12,-5,Kind of on time,Kind of on time
UA,1675,January,2013-01-06T23:00:00Z,7,-3,Kind of on time,Kind of on time
9E,3579,September,2013-09-18T12:00:00Z,-5,-31,Kind of on time,Early
UA,509,October,2013-10-21T21:00:00Z,-2,-15,Kind of on time,Kind of on time
UA,1638,December,2013-12-04T20:00:00Z,-11,-22,Kind of on time,Kind of on time
B6,373,February,2013-02-10T15:00:00Z,0,-33,Kind of on time,Early
AA,1709,April,2013-04-18T23:00:00Z,121,77,Late,Late
EV,4640,January,2013-01-30T17:00:00Z,NA,NA,NA,NA
EV,4645,May,2013-05-03T20:00:00Z,-6,-12,Kind of on time,Kind of on time
DL,87,November,2013-11-14T23:00:00Z,-3,-29,Kind of on time,Kind of on time
US,656,April,2013-04-01T20:00:00Z,-10,18,Kind of on time,Kind of on time
B6,608,April,2013-04-16T02:00:00Z,-2,6,Kind of on time,Kind of on time
UA,1600,April,2013-04-12T19:00:00Z,3,-14,Kind of on time,Kind of on time
AA,1143,November,2013-11-09T17:00:00Z,32,20,Late,Kind of on time
UA,685,May,2013-05-02T10:00:00Z,-4,-36,Kind of on time,Early
WN,1013,August,2013-08-30T19:00:00Z,-6,-20,Kind of on time,Kind of on time
B6,553,November,2013-11-24T18:00:00Z,0,28,Kind of on time,Kind of on time
B6,1338,June,2013-06-03T17:00:00Z,NA,NA,NA,NA
DL,1705,March,2013-03-07T19:00:00Z,-3,-32,Kind of on time,Early
UA,1554,November,2013-11-23T21:00:00Z,-1,-13,Kind of on time,Kind of on time
DL,1231,May,2013-05-11T18:00:00Z,-9,-6,Kind of on time,Kind of on time
UA,274,August,2013-08-29T18:00:00Z,0,11,Kind of on time,Kind of on time
UA,1481,December,2013-12-24T23:00:00Z,22,4,Kind of on time,Kind of on time
EV,4212,August,2013-08-12T20:00:00Z,35,9,Late,Kind of on time
DL,87,February,2013-02-26T00:00:00Z,-4,-44,Kind of on time,Early
AA,177,February,2013-02-26T22:00:00Z,-2,-51,Kind of on time,Early
MQ,3704,September,2013-09-22T15:00:00Z,29,21,Kind of on time,Kind of on time
9E,3899,April,2013-04-25T23:00:00Z,-8,14,Kind of on time,Kind of on time
MQ,4573,January,2013-01-11T01:00:00Z,-3,26,Kind of on time,Kind of on time
DL,1982,May,2013-05-31T19:00:00Z,28,19,Kind of on time,Kind of on time
US,2144,May,2013-05-04T01:00:00Z,-8,-14,Kind of on time,Kind of on time
DL,1585,April,2013-04-09T21:00:00Z,19,-4,Kind of on time,Kind of on time
EV,4143,March,2013-03-12T14:00:00Z,0,-8,Kind of on time,Kind of on time
UA,397,June,2013-06-03T12:00:00Z,10,-2,Kind of on time,Kind of on time
US,802,July,2013-07-15T19:00:00Z,-5,-3,Kind of on time,Kind of on time
MQ,3670,July,2013-07-28T13:00:00Z,-9,-13,Kind of on time,Kind of on time
EV,4411,December,2013-12-23T22:00:00Z,65,68,Late,Late
9E,3317,October,2013-10-30T12:00:00Z,-2,-12,Kind of on time,Kind of on time
B6,71,August,2013-08-04T23:00:00Z,31,13,Late,Kind of on time
UA,331,June,2013-06-24T11:00:00Z,-7,-33,Kind of on time,Early
AA,19,November,2013-11-01T14:00:00Z,-5,NA,Kind of on time,NA
MQ,3230,December,2013-12-02T16:00:00Z,-5,-15,Kind of on time,Kind of on time
US,2069,December,2013-12-05T17:00:00Z,0,-16,Kind of on time,Kind of on time
EV,5220,October,2013-10-10T12:00:00Z,-2,-4,Kind of on time,Kind of on time
UA,1270,November,2013-11-13T19:00:00Z,2,-15,Kind of on time,Kind of on time
B6,83,June,2013-06-25T19:00:00Z,37,32,Late,Late
B6,1006,February,2013-02-11T17:00:00Z,117,122,Late,Late
UA,468,January,2013-01-20T12:00:00Z,-4,-25,Kind of on time,Kind of on time
DL,1619,March,2013-03-21T20:00:00Z,21,1,Kind of on time,Kind of on time
AA,1185,November,2013-11-29T22:00:00Z,-5,-55,Kind of on time,Early
US,802,December,2013-12-16T18:00:00Z,-3,-1,Kind of on time,Kind of on time
UA,685,November,2013-11-30T20:00:00Z,4,-16,Kind of on time,Kind of on time
UA,1703,May,2013-05-24T21:00:00Z,-1,-11,Kind of on time,Kind of on time
B6,885,October,2013-10-02T11:00:00Z,-9,-23,Kind of on time,Kind of on time
UA,551,August,2013-08-03T23:00:00Z,6,17,Kind of on time,Kind of on time
B6,1634,December,2013-12-28T14:00:00Z,-3,-9,Kind of on time,Kind of on time
EV,4191,November,2013-11-17T22:00:00Z,23,NA,Kind of on time,NA
UA,492,July,2013-07-17T10:00:00Z,-6,-43,Kind of on time,Early
9E,4135,March,2013-03-03T20:00:00Z,-4,-10,Kind of on time,Kind of on time
MQ,3351,September,2013-09-12T10:00:00Z,0,-11,Kind of on time,Kind of on time
MQ,4484,May,2013-05-24T22:00:00Z,-7,-6,Kind of on time,Kind of on time
MQ,3669,November,2013-11-18T19:00:00Z,-1,-4,Kind of on time,Kind of on time
WN,51,September,2013-09-23T15:00:00Z,2,-1,Kind of on time,Kind of on time
9E,3540,July,2013-07-03T19:00:00Z,50,22,Late,Kind of on time
UA,1149,November,2013-11-25T00:00:00Z,32,28,Late,Kind of on time
WN,3223,January,2013-01-10T11:00:00Z,-4,-14,Kind of on time,Kind of on time
UA,440,July,2013-07-21T11:00:00Z,-4,-12,Kind of on time,Kind of on time
US,1057,May,2013-05-04T10:00:00Z,-9,-17,Kind of on time,Kind of on time
UA,1232,November,2013-11-10T18:00:00Z,18,9,Kind of on time,Kind of on time
UA,1244,July,2013-07-30T00:00:00Z,1,16,Kind of on time,Kind of on time
9E,3416,May,2013-05-02T23:00:00Z,82,62,Late,Late
MQ,3985,February,2013-02-15T21:00:00Z,-1,2,Kind of on time,Kind of on time
B6,1516,July,2013-07-05T21:00:00Z,-1,-44,Kind of on time,Early
B6,171,January,2013-01-05T23:00:00Z,38,12,Late,Kind of on time
B6,2002,September,2013-09-30T02:00:00Z,-1,-7,Kind of on time,Kind of on time
B6,971,October,2013-10-05T14:00:00Z,-7,-25,Kind of on time,Kind of on time
UA,1109,November,2013-11-09T22:00:00Z,-6,-25,Kind of on time,Kind of on time
AA,343,October,2013-10-07T20:00:00Z,-6,1,Kind of on time,Kind of on time
UA,1171,July,2013-07-31T13:00:00Z,-4,2,Kind of on time,Kind of on time
UA,254,April,2013-04-14T01:00:00Z,1,29,Kind of on time,Kind of on time
DL,301,July,2013-07-23T12:00:00Z,-1,-13,Kind of on time,Kind of on time
UA,1152,June,2013-06-29T22:00:00Z,0,-41,Kind of on time,Early
VX,183,August,2013-08-18T11:00:00Z,-2,-31,Kind of on time,Early
9E,2950,November,2013-11-15T01:00:00Z,-7,-13,Kind of on time,Kind of on time
UA,1601,August,2013-08-13T20:00:00Z,6,-3,Kind of on time,Kind of on time
EV,4409,December,2013-12-06T13:00:00Z,-2,7,Kind of on time,Kind of on time
B6,181,February,2013-02-05T13:00:00Z,-2,10,Kind of on time,Kind of on time
B6,677,September,2013-09-02T12:00:00Z,7,14,Kind of on time,Kind of on time
EV,4191,May,2013-05-25T23:00:00Z,-8,-28,Kind of on time,Kind of on time
AA,1901,May,2013-05-28T21:00:00Z,-3,-14,Kind of on time,Kind of on time
B6,658,May,2013-05-27T16:00:00Z,-7,-8,Kind of on time,Kind of on time
AA,301,January,2013-01-12T11:00:00Z,-5,-25,Kind of on time,Kind of on time
DL,874,March,2013-03-30T13:00:00Z,-2,-27,Kind of on time,Kind of on time
AA,1039,January,2013-01-10T20:00:00Z,-6,1,Kind of on time,Kind of on time
UA,1477,June,2013-06-28T13:00:00Z,2,-12,Kind of on time,Kind of on time
B6,213,September,2013-09-23T17:00:00Z,-1,-22,Kind of on time,Kind of on time
DL,1543,June,2013-06-26T21:00:00Z,8,11,Kind of on time,Kind of on time
DL,1947,October,2013-10-08T15:00:00Z,-2,9,Kind of on time,Kind of on time
UA,1471,April,2013-04-07T23:00:00Z,23,6,Kind of on time,Kind of on time
US,2095,August,2013-08-20T17:00:00Z,-6,-14,Kind of on time,Kind of on time
UA,485,April,2013-04-01T14:00:00Z,-1,-2,Kind of on time,Kind of on time
9E,3508,November,2013-11-15T17:00:00Z,-3,-2,Kind of on time,Kind of on time
UA,1688,May,2013-05-20T14:00:00Z,10,-25,Kind of on time,Kind of on time
EV,4278,October,2013-10-13T23:00:00Z,-9,6,Kind of on time,Kind of on time
EV,5846,December,2013-12-31T18:00:00Z,-2,6,Kind of on time,Kind of on time
EV,5837,July,2013-07-24T17:00:00Z,85,96,Late,Late
AA,1895,April,2013-04-08T10:00:00Z,-3,-13,Kind of on time,Kind of on time
MQ,3433,September,2013-09-17T19:00:00Z,21,27,Kind of on time,Kind of on time
UA,1199,April,2013-04-07T12:00:00Z,131,103,Late,Late
EV,5814,June,2013-06-09T18:00:00Z,-3,-7,Kind of on time,Kind of on time
MQ,3202,November,2013-11-24T20:00:00Z,-2,-13,Kind of on time,Kind of on time
DL,95,February,2013-02-01T20:00:00Z,-1,-25,Kind of on time,Kind of on time
US,1427,March,2013-03-06T15:00:00Z,-1,-7,Kind of on time,Kind of on time
9E,3698,July,2013-07-12T17:00:00Z,-5,-9,Kind of on time,Kind of on time
AA,341,July,2013-07-14T19:00:00Z,-4,-21,Kind of on time,Kind of on time
B6,8,July,2013-07-23T11:00:00Z,-10,-10,Kind of on time,Kind of on time
B6,415,July,2013-07-16T22:00:00Z,104,94,Late,Late
WN,962,April,2013-04-12T22:00:00Z,64,60,Late,Late
AA,320,December,2013-12-23T19:00:00Z,19,59,Kind of on time,Late
B6,608,May,2013-05-27T02:00:00Z,-7,-14,Kind of on time,Kind of on time
EV,4638,March,2013-03-08T13:00:00Z,216,305,Late,Late
US,2165,April,2013-04-29T12:00:00Z,-7,13,Kind of on time,Kind of on time
F9,835,March,2013-03-28T12:00:00Z,-3,-5,Kind of on time,Kind of on time
EV,4498,January,2013-01-23T12:00:00Z,0,14,Kind of on time,Kind of on time
WN,149,April,2013-04-15T16:00:00Z,-7,-10,Kind of on time,Kind of on time
UA,424,November,2013-11-21T12:00:00Z,9,-13,Kind of on time,Kind of on time
AS,15,September,2013-09-05T11:00:00Z,-5,-37,Kind of on time,Early
DL,1902,February,2013-02-02T21:00:00Z,-6,-17,Kind of on time,Kind of on time
AA,337,June,2013-06-02T18:00:00Z,-2,-10,Kind of on time,Kind of on time
US,625,August,2013-08-27T14:00:00Z,-8,-36,Kind of on time,Early
VX,251,July,2013-07-28T13:00:00Z,-2,-3,Kind of on time,Kind of on time
9E,4127,October,2013-10-07T00:00:00Z,25,3,Kind of on time,Kind of on time
9E,3613,April,2013-04-02T13:00:00Z,-7,-14,Kind of on time,Kind of on time
DL,394,November,2013-11-03T14:00:00Z,-5,-11,Kind of on time,Kind of on time
UA,1583,April,2013-04-13T14:00:00Z,1,-12,Kind of on time,Kind of on time
US,721,December,2013-12-12T19:00:00Z,-1,8,Kind of on time,Kind of on time
B6,301,December,2013-12-03T19:00:00Z,38,54,Late,Late
9E,4019,March,2013-03-04T23:00:00Z,-6,-13,Kind of on time,Kind of on time
EV,4252,August,2013-08-28T10:00:00Z,-9,-20,Kind of on time,Kind of on time
AA,854,May,2013-05-14T20:00:00Z,-1,-3,Kind of on time,Kind of on time
DL,2231,September,2013-09-22T20:00:00Z,0,1,Kind of on time,Kind of on time
DL,435,December,2013-12-20T00:00:00Z,20,3,Kind of on time,Kind of on time
EV,4140,December,2013-12-02T14:00:00Z,-7,-36,Kind of on time,Early
FL,620,April,2013-04-01T20:00:00Z,4,24,Kind of on time,Kind of on time
B6,717,January,2013-01-11T13:00:00Z,-3,-10,Kind of on time,Kind of on time
AA,773,March,2013-03-30T20:00:00Z,-10,-36,Kind of on time,Early
B6,885,August,2013-08-25T12:00:00Z,-1,-18,Kind of on time,Kind of on time
MQ,3216,October,2013-10-19T20:00:00Z,30,10,Late,Kind of on time
WN,1638,April,2013-04-30T17:00:00Z,31,3,Late,Kind of on time
FL,771,June,2013-06-18T21:00:00Z,118,116,Late,Late
EV,4246,September,2013-09-20T12:00:00Z,-5,-18,Kind of on time,Kind of on time
EV,4640,January,2013-01-24T17:00:00Z,221,206,Late,Late
EV,4240,February,2013-02-04T16:00:00Z,-10,-23,Kind of on time,Kind of on time
UA,258,January,2013-01-09T14:00:00Z,-5,3,Kind of on time,Kind of on time
AA,2285,November,2013-11-21T19:00:00Z,-4,-28,Kind of on time,Kind of on time
EV,4398,May,2013-05-10T14:00:00Z,-5,-15,Kind of on time,Kind of on time
UA,1071,January,2013-01-24T01:00:00Z,4,-4,Kind of on time,Kind of on time
WN,197,May,2013-05-31T20:00:00Z,11,4,Kind of on time,Kind of on time
US,186,April,2013-04-15T17:00:00Z,-8,-5,Kind of on time,Kind of on time
DL,2003,November,2013-11-09T12:00:00Z,-5,-35,Kind of on time,Early
US,1873,August,2013-08-01T22:00:00Z,58,51,Late,Late
WN,1945,October,2013-10-31T18:00:00Z,-2,0,Kind of on time,Kind of on time
EV,4535,May,2013-05-31T10:00:00Z,3,-10,Kind of on time,Kind of on time
UA,404,October,2013-10-19T15:00:00Z,256,288,Late,Late
DL,2370,August,2013-08-26T22:00:00Z,-5,-4,Kind of on time,Kind of on time
B6,1006,January,2013-01-16T17:00:00Z,9,-3,Kind of on time,Kind of on time
EV,4704,May,2013-05-21T11:00:00Z,18,18,Kind of on time,Kind of on time
EV,5712,March,2013-03-27T17:00:00Z,-4,-5,Kind of on time,Kind of on time
EV,4111,October,2013-10-07T11:00:00Z,-8,-17,Kind of on time,Kind of on time
UA,1269,March,2013-03-28T20:00:00Z,-7,-24,Kind of on time,Kind of on time
US,656,January,2013-01-11T21:00:00Z,-6,10,Kind of on time,Kind of on time
FL,485,July,2013-07-22T00:00:00Z,174,160,Late,Late
EV,4252,September,2013-09-18T10:00:00Z,-8,-22,Kind of on time,Kind of on time
B6,503,April,2013-04-26T13:00:00Z,-7,36,Kind of on time,Late
DL,461,September,2013-09-29T10:00:00Z,-3,-7,Kind of on time,Kind of on time
VX,29,May,2013-05-10T22:00:00Z,29,37,Kind of on time,Late
UA,479,October,2013-10-09T10:00:00Z,-6,2,Kind of on time,Kind of on time
B6,219,August,2013-08-04T12:00:00Z,-2,0,Kind of on time,Kind of on time
AA,2041,June,2013-06-12T16:00:00Z,-4,22,Kind of on time,Kind of on time
EV,4241,April,2013-04-24T10:00:00Z,-4,-13,Kind of on time,Kind of on time
UA,1109,February,2013-02-12T22:00:00Z,-4,-4,Kind of on time,Kind of on time
UA,450,October,2013-10-10T11:00:00Z,-7,-27,Kind of on time,Kind of on time
AA,1467,January,2013-01-18T21:00:00Z,147,147,Late,Late
9E,3393,September,2013-09-12T18:00:00Z,17,10,Kind of on time,Kind of on time
DL,1133,February,2013-02-27T00:00:00Z,-1,-8,Kind of on time,Kind of on time
B6,527,November,2013-11-13T02:00:00Z,80,81,Late,Late
B6,985,December,2013-12-21T02:00:00Z,-3,3,Kind of on time,Kind of on time
9E,3368,February,2013-02-02T00:00:00Z,93,66,Late,Late
DL,2391,March,2013-03-23T22:00:00Z,70,65,Late,Late
UA,1128,December,2013-12-18T23:00:00Z,5,-22,Kind of on time,Kind of on time
EV,4304,September,2013-09-22T11:00:00Z,-7,-28,Kind of on time,Kind of on time
DL,1879,December,2013-12-04T12:00:00Z,-3,-26,Kind of on time,Kind of on time
UA,1022,September,2013-09-20T00:00:00Z,17,-17,Kind of on time,Kind of on time
UA,15,February,2013-02-16T18:00:00Z,-2,-34,Kind of on time,Early
DL,419,November,2013-11-22T20:00:00Z,8,6,Kind of on time,Kind of on time
EV,4171,March,2013-03-27T18:00:00Z,-6,-21,Kind of on time,Kind of on time
B6,1271,November,2013-11-17T00:00:00Z,125,104,Late,Late
B6,197,May,2013-05-12T13:00:00Z,-5,-31,Kind of on time,Early
DL,2331,December,2013-12-19T23:00:00Z,3,0,Kind of on time,Kind of on time
